step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,100.0,773.0114546060562,987.4761800765991,72.3876330715422,0.10262683549809479,1.9539615384615385,25.673917241384913,0.8822797904522275,0.0003418578559786701,0.001027973073237027,0.0014065459493676508,0.0013355154143647604,0.010130278476340876,0.0027444979984046765,0.0038348217551201075
libero_object,100.0,721.4487287282943,1025.9544219970703,77.24828573393827,0.10878685722909893,1.9737893038334213,25.56702942847293,0.8568803691698124,0.00019070190515913177,0.0008492367950912238,0.001068094313997873,0.001288914166116667,0.010727322186337405,0.0027116450909448874,0.0038059869362260385
libero_goal,99.0,888.7583721876144,1248.2215511798859,51.803135225959544,0.0996920535286793,1.9600572585309428,25.422574367034976,0.8854130515968727,0.00023688608257454438,0.0008915281841798104,0.0011820955161689958,0.001255602953795891,0.01148087311435449,0.002939575045131812,0.004150726840768357
libero_10,96.0,1793.5662438631057,2411.892434835434,41.06482833514586,0.09920275269847037,1.9874403790717292,25.71236742792242,0.8969034526481086,0.000193150789888287,0.0007965373780979507,0.0011069451591783383,0.0010895161852272268,0.012794786019830546,0.0029828615076281486,0.004568171813236996
Overall,98.75,1044.1961998462677,2411.892434835434,60.625970591646464,0.10257712473858582,1.9688121199744077,25.593972116203812,0.8803691659667553,0.00024064915840015826,0.0008913188576515031,0.0011909202346782146,0.0012423871798761365,0.011283314949215827,0.0028446449105273804,0.004089926836337875
