Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,100.0,0.11376580678252138,1.9798205128205129,25.66071277192072,0.8728264765287589,0.00016648333642938282,0.0007949562222985668,0.001089146171124498,0.0011292391593418192,0.012839586695433083,0.003156154404565253,0.004310802833081239,53.93192025880644
libero_10_1,put both the cream cheese box and the butter in the basket,100.0,0.13283809468247318,1.9913043478260868,25.910704110698425,0.879485263146784,0.00013382375749157897,0.0007418500857282477,0.0011221968358236221,0.0009695296638695424,0.012563524418920483,0.002960595887891523,0.004270488010426771,58.73904347458806
libero_10_2,turn on the stove and put the moka pot on it,100.0,0.0976012893209913,1.9791376811594201,23.77876874586034,0.8845239830397121,0.0002898196570879603,0.0011355858117780755,0.0015141252400845736,0.0016028125381616922,0.017745523019584934,0.004146804328175208,0.006513888550594239,50.89316513943331
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,100.0,0.1010456929890288,1.9813636363636362,25.049809988681684,0.8941092552017207,0.00034737406122681855,0.0011080166532919235,0.0015315323464656617,0.001445143552183291,0.011804612074356936,0.0032816496747660067,0.004364916231035471,50.73033928510142
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,100.0,0.10246743448650082,1.981366459627329,26.66988254265666,0.909176606395903,0.00015555064012523116,0.0006306521160184773,0.0009893165314356872,0.0007470891764945133,0.009044157045080853,0.0021622468288939995,0.0033150574842692676,43.45130521758769
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.0,0.07174620937017322,1.9765686274509804,29.364381072521212,0.9263800378742755,9.446191275980943e-05,0.00038069415165819907,0.0004209254728717568,0.0006266950693430307,0.005023253141926925,0.0011995459765613277,0.001837143217697887,36.35193478552911
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,100.0,0.0996653612865054,1.9861283643892338,26.5602227005114,0.9042345317136361,0.00017350648411022562,0.0007155385679946204,0.001074041912319567,0.0008990673075540683,0.008670108892956026,0.0022554032176863295,0.003132445393239795,49.31208882176534
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,100.0,0.11810165197062103,2.0,26.120190164003134,0.883433247006183,0.0001599529415055669,0.0007167981858909688,0.0010163714092320543,0.000974070206935285,0.013321985638990235,0.0032150238920555727,0.004521165785806832,57.73612783536961
libero_10_8,put both moka pots on the stove,80.0,0.08519053791070587,1.9954521963824292,25.37441230413499,0.9134665378007991,0.0002503595204750866,0.0008748748561696049,0.0012050681558902492,0.0011691968921434788,0.011498526890832828,0.0023039952769432635,0.00475177589842762,38.5869630197821
libero_10_9,put the yellow and white mug in the microwave and close it,100.0,0.1016240181136947,1.975974358974359,24.600211610251847,0.9144149225500714,0.0001991025543517723,0.0007832631114376581,0.0009969240216627015,0.0011537627582985,0.01440414545345813,0.0035697596179329978,0.004727420920662508,41.93565240889019
