step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,99.0,826.3835627317428,1014.7132465839386,84.35120485601519,0.10866580042665616,1.9576105283605283,25.645162084905802,0.8798675939147176,0.0003671986032494496,0.0010630126335360516,0.0014350855395006469,0.0013867537578580588,0.010093808842668434,0.002760154073383517,0.003877080197284056
libero_object,96.0,913.1331410646438,1124.3699007034302,97.55928063035324,0.11580915249503307,1.9788663974913974,25.460089967780114,0.8516664199923358,0.00019512492521803914,0.0008621488310625314,0.0010729775626676502,0.0013183440053019043,0.011754480165145536,0.002690062790076864,0.0042585004616692125
libero_goal,98.0,1020.134449839592,1590.4435267448425,60.5296588628021,0.10501618051158293,1.9566846247405842,25.416481128220113,0.883538707568843,0.0002503180641782995,0.0009034695794003846,0.0011843041808659162,0.0012757864931569381,0.011425549577084712,0.0028848662908872265,0.004191945401371434
libero_10,98.0,1792.834812283516,2871.3856887817383,48.16685402468533,0.10240460969132156,1.9847116184993987,25.908929601124044,0.8982050861257843,0.00019704348655634327,0.0007882229762266341,0.0010959648096910371,0.001071660632432522,0.011691542327154043,0.0028251179105471484,0.0041745104325241625
Overall,97.75,1138.1214914798736,2871.3856887817383,72.65174959346396,0.10797393578114842,1.9694682922729776,25.607665695507524,0.8783194519004199,0.000252421269800533,0.0009042135050564002,0.0011970830231813128,0.0012631362221873555,0.011241345228013181,0.00279005026622369,0.004125509123212216
