cell_id,model,checkpoint,schedule,schedule_shift,solver,steps,model_evaluations,successes,episodes,success_rate,gfvd,lpips,num_future_frames,psnr,ssim,wavelet_hh_mse,wavelet_high_mse,wavelet_hl_mse,wavelet_lh_mse,wavelet_ll_mse,wavelet_temporal_high_mse,wavelet_temporal_low_mse,summary_file
latent_fastwam_joint_step021700_raw__uniform__euler__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,uniform,,euler,10,10,397,400,99.25,60.46077502702504,0.10207553013013462,1.9698109581025232,25.66041140254589,0.8811730450146419,0.00024080475210531212,0.0008875809772320255,0.0011852203769905302,0.0012367178026002341,0.011070064691724965,0.0028256666142436647,0.00400374101220733,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__uniform__euler__n10/summary.json
latent_fastwam_joint_step021700_raw__uniform__heun__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,uniform,,heun,10,19,395,400,98.75,60.625970591646464,0.10257712473858582,1.9688121199744077,25.593972116203812,0.8803691659667553,0.00024064915840015826,0.0008913188576515031,0.0011909202346782146,0.0012423871798761365,0.011283314949215827,0.0028446449105273804,0.004089926836337875,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__uniform__heun__n10/summary.json
latent_fastwam_joint_step021700_raw__uniform__midpoint__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,uniform,,midpoint,10,20,393,400,98.25,62.373760429472426,0.1071545597604463,1.9697618746878263,25.18167769224995,0.8745133802578406,0.000234511446602739,0.0009119823530596797,0.0012264965039481658,0.0012749391086281342,0.01228051006490725,0.0030559676709160906,0.0044260805795709075,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__uniform__midpoint__n10/summary.json
latent_fastwam_joint_step021700_raw__logit_normal__euler__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,logit_normal,17.0,euler,10,10,391,400,97.75,72.65174959346396,0.10797393578114842,1.9694682922729776,25.607665695507524,0.8783194519004199,0.000252421269800533,0.0009042135050564002,0.0011970830231813128,0.0012631362221873555,0.011241345228013181,0.00279005026622369,0.004125509123212216,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__logit_normal__euler__n10/summary.json
latent_fastwam_joint_step021700_raw__logit_normal__heun__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,logit_normal,17.0,heun,10,19,389,400,97.25,71.55594462088052,0.10820778387481436,1.9715395160732843,25.55081902636797,0.8776572414950671,0.00025305749920902416,0.0009095874615612966,0.0012053791232434273,0.0012703257622314389,0.011371627236352318,0.0028448208137218972,0.004151703293839114,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__logit_normal__heun__n10/summary.json
latent_fastwam_joint_step021700_raw__logit_normal__midpoint__n10,latent_fastwam_joint_step021700_raw,/raid/kaiming/FastWAM/runs/libero_joint_2cam224_1e-4/2026-07-27_2017/checkpoints/weights/step_021700.pt,logit_normal,17.0,midpoint,10,20,395,400,98.75,62.051485880564954,0.10581794632688457,1.9693236745792952,25.24594023339072,0.8772027694351818,0.0002323545646289641,0.0009038383963552004,0.0012171884521271286,0.001261972172309509,0.012161936233960524,0.003040053531383978,0.004358417716069486,/raid/kaiming/FastWAM/evaluate_results/sampler_solver_400video_4models_seed42/latent_fastwam_joint_step021700_raw/latent_fastwam_joint_step021700_raw__logit_normal__midpoint__n10/summary.json
