step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,100.0,778.8914222240448,921.8188111782074,75.89811180385891,0.1062089805738329,1.9553131313131313,25.433258489919773,0.8786120213300788,0.0003201305440791395,0.0010184037728921467,0.0014083020782396868,0.0013267786963576148,0.010757376128124736,0.0029303253376413417,0.003988464225818609
libero_object,98.0,688.9568399190903,902.9701979160309,74.67304482295714,0.11384897969791427,1.9794495514805113,25.003888828775292,0.8484370571743909,0.00019569540739751372,0.0008966441601804901,0.0011353198692554784,0.0013589172038884789,0.012221391993948606,0.003021083035636496,0.004324662339495775
libero_goal,98.0,888.6560634374619,1256.5240361690521,58.568961608681455,0.10565240675281484,1.9561376499317678,24.934989756901803,0.878715432566425,0.00022871294014535014,0.0009137538962919661,0.0012167232427543583,0.0012958255059761898,0.01270670788434378,0.003160503114287395,0.004598773691748837
libero_10,97.0,1811.5832758426666,2605.865228176117,40.35492348239228,0.10290787201722311,1.9881471660258945,25.35457369340293,0.8922890099604673,0.0001935068947889528,0.0008191275828741152,0.001145640825543139,0.0011182350282902538,0.013436564253211877,0.0031119591960991327,0.004792422061220407
Overall,98.25,1042.021900355816,2605.865228176117,62.373760429472426,0.1071545597604463,1.9697618746878263,25.18167769224995,0.8745133802578406,0.000234511446602739,0.0009119823530596797,0.0012264965039481658,0.0012749391086281342,0.01228051006490725,0.0030559676709160906,0.0044260805795709075
