Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,100.0,0.11628654436012009,1.980911680911681,25.248235353428846,0.8671340762326768,0.00015809077052448813,0.0007955377338509231,0.0011180129598312495,0.001110509471197032,0.014406629769603052,0.0032801127183039215,0.004930927418527033,48.18110441700179
libero_10_1,put both the cream cheese box and the butter in the basket,100.0,0.12759901764236187,2.0,25.596120527590816,0.8778167921300051,0.00013072621258342591,0.0007365939094314369,0.0011135745336801604,0.0009654809820307241,0.012090850598978601,0.002946257021807372,0.0042040588729791726,49.7437644918127
libero_10_2,turn on the stove and put the moka pot on it,100.0,0.09922137256447644,1.9834144116752814,23.294345798465177,0.8780506858027423,0.00029055709047460105,0.001174238992156172,0.0015744334679955823,0.0016577264179983328,0.0201404699549532,0.0045466190284287455,0.007353771968840031,41.4362406874342
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,100.0,0.10242391161757695,2.0,24.645824487529275,0.8887638510434659,0.00033202807272128505,0.001138251287951209,0.0015821746623474152,0.0015005511287849262,0.013035869476686784,0.0035038176522634566,0.004721493707131695,43.41541762807935
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,100.0,0.09777861331488204,1.982394598155468,26.458461848369723,0.9080418613272861,0.00014707066814521896,0.0006455911660837793,0.0010251365892435757,0.0007645662408625432,0.00960925772581203,0.0024134328657267204,0.0033680835041546087,41.07353251593035
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.0,0.08091003994710935,1.9826044891640868,28.35134176245547,0.914334936682071,9.253557850038316e-05,0.0004154540130614548,0.0004426185285081375,0.0007112079321758436,0.006858753280628345,0.0014490177325359914,0.0026160963463187892,28.230834033138823
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,90.0,0.10136238165791304,1.9956521739130433,25.2532514813106,0.8885676531362187,0.0001824422729344197,0.0008423530944785074,0.0012668043605829078,0.0010778126499181942,0.013266399889387884,0.002457260642586002,0.005437343743352406,48.43651013821068
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,100.0,0.11387343434605143,1.9873188405797098,25.753783539609948,0.8812480622924207,0.00015372239555190256,0.0007292984958764492,0.0010523696079055226,0.0009818034841719222,0.014202759478310688,0.003449920272746118,0.00459027612432227,48.16485343239918
libero_10_8,put both moka pots on the stove,80.0,0.08600788215153779,1.9925956937799043,25.068989571607798,0.911580935030622,0.00024599268848260177,0.0008838769825176328,0.0012089593635283423,0.0011966788955419542,0.012790991153890843,0.002689917492267741,0.0049903185433467,23.309806864381756
libero_10_9,put the yellow and white mug in the microwave and close it,100.0,0.10361552257020228,1.9765797720797718,23.875382563661645,0.9073512459271653,0.00020190319797120147,0.0008300801533335875,0.001072324181808498,0.0012160130802210635,0.01796366120386734,0.0043832365343252615,0.005711850383231371,31.557170615533973
