step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,98.0,339.16017694473265,443.4737377166748,76.84381868406014,0.10597722247047037,1.9559329501915705,25.335501517105097,0.8788666225784872,0.00032154668396146486,0.0010280346921256061,0.0014248127303016671,0.001337744662113686,0.01126019698005871,0.0029619786966100796,0.004200053507065782
libero_object,100.0,337.2384287595749,359.3728754520416,77.45065465784754,0.11232226561474679,1.9749827354018532,25.132141396718584,0.8524277046376945,0.00019147320139138214,0.0008838620412942144,0.0011257692169448564,0.0013343437055464043,0.01183344789091268,0.0029714277328394515,0.004121910256397999
libero_goal,98.0,402.2331962347031,532.4082067012787,54.09757460585875,0.1038383309029666,1.9616537547419903,25.064864390088516,0.8823670779881164,0.00022590597482530583,0.0009006052444146342,0.001194020123224384,0.0012818896351942126,0.012405360265532215,0.0031116235843798566,0.0044805165332888735
libero_10,99.0,1434.8061738014221,1767.747522354126,39.81389557449336,0.1011339663193546,1.984725257981768,25.45125362965063,0.8951496725364294,0.00019049239833770373,0.0008028516075863472,0.001124151738037607,0.0010939106863837307,0.013148739799338482,0.0031151841117065273,0.004631190567525289
Overall,98.75,628.3594939351082,1767.747522354126,62.051485880564954,0.10581794632688457,1.9693236745792952,25.24594023339072,0.8772027694351818,0.0002323545646289641,0.0009038383963552004,0.0012171884521271286,0.001261972172309509,0.012161936233960524,0.003040053531383978,0.004358417716069486
