step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,97.0,621.6178965330124,895.9077758789062,83.95975018027453,0.10940711562802177,1.9641534576534574,25.574947045100597,0.8788696533313602,0.00036840807141099563,0.0010692173575980969,0.0014445956286887063,0.0013946483726945888,0.010381065548054576,0.0028477704988760623,0.0039401323837432055
libero_object,96.0,725.7098399400711,913.0930979251862,93.13131693144183,0.115606580847464,1.9757503109635461,25.390647223251506,0.8513218366936064,0.00019601762071359748,0.0008688746739426801,0.0010815704399665977,0.0013290359611478452,0.011788795197675905,0.002741820705373088,0.004272990303171353
libero_goal,97.0,877.315149307251,1175.2627999782562,61.24963954764903,0.10556389281402953,1.961381111148913,25.332373353604517,0.8822919076809272,0.00025105626997468106,0.0009104203073754374,0.0011961561993939459,0.0012840484527576854,0.011628399538791042,0.0029277408814897825,0.004268946224731835
libero_10,99.0,1703.6289493083955,2395.8913176059723,47.883071824156694,0.10225354620974222,1.9848731845272194,25.905308483515245,0.898145568274374,0.00019674803473682226,0.0007898375073289724,0.0010991942249244599,0.001073570262325635,0.011688248660887756,0.0028619511691486592,0.004124744263710058
Overall,97.25,982.0679587721825,2395.8913176059723,71.55594462088052,0.10820778387481436,1.9715395160732843,25.55081902636797,0.8776572414950671,0.00025305749920902416,0.0009095874615612966,0.0012053791232434273,0.0012703257622314389,0.011371627236352318,0.0028448208137218972,0.004151703293839114
