step_021700.pt
Task Suite,Success Rate (%),Average Time (s),Max Time (s),Future gfvd,Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse
libero_spatial,99.0,784.1424466848373,974.2017319202423,72.24424850229478,0.10279004804389043,1.9495811965811967,25.65733151862227,0.8819806065532593,0.0003442314694805603,0.0010347710594121905,0.001409221752894476,0.001350859955861536,0.010239132519614441,0.002753751900546397,0.003910508475340925
libero_object,100.0,763.1225745677948,1016.8043005466461,76.74867956407084,0.10863447978631505,1.9766272159213336,25.621565820321088,0.8571328963895786,0.00019035135049144013,0.0008471295578946231,0.0010660203981263205,0.0012850169250661085,0.010754562367992517,0.0027269577431570284,0.003775532965896699
libero_goal,99.0,910.1753126144409,1332.7113075256348,52.68312811720148,0.09921667513124796,1.9639145299145297,25.48872657129908,0.886238555676208,0.00023700369175304052,0.0008875046348839349,0.0011824165188210247,0.00124309369407774,0.011341474033561574,0.0029037382601420927,0.004120539842611491
libero_10,99.0,1820.523257136345,2121.760882139206,40.167043924533125,0.097660917559085,1.9891208899930326,25.874021699941107,0.8993401214395215,0.0001916324966962074,0.0007809186567373526,0.0010832228381203,0.0010679006353955507,0.011945089845731324,0.0029182185531291416,0.0042083827649802095
Overall,99.25,1069.4908977508544,2121.760882139206,60.46077502702504,0.10207553013013462,1.9698109581025232,25.66041140254589,0.8811730450146419,0.00024080475210531212,0.0008875809772320255,0.0011852203769905302,0.0012367178026002341,0.011070064691724965,0.0028256666142436647,0.00400374101220733
